Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
2.11586	3	0	1	-98.3961
2.11786	5	0	9	-99.5257
2.11843	3	0	0	-107.712
2.11893	5	0	9	-99.5257
2.11993	5	0	9	-99.5257
2.12186	1	0	4	-104.256
2.12343	3	0	0	-107.712
2.12929	3	0	0	-107.712
2.12993	5	0	9	-99.5257
2.13093	5	0	9	-99.5257
2.13386	5	0	6	-94.1025
2.13564	3	0	0	-107.712
2.13593	5	0	9	-99.5257
2.13686	1	0	3	-82.3151
2.13693	5	0	9	-99.5257
2.14086	5	0	7	-70.4565
2.14143	3	0	0	-107.712
2.14193	5	0	9	-99.5257
2.14286	5	0	5	-97.8048
2.14293	5	0	9	-99.5257
