time(s)	cellId	rnti	lcid	packetSize	delay(s)
2.00781	3	2	3	2912	0.00274285
2.00796	3	3	3	2155	0.00288571
2.00803	1	5	3	1028	0.00795714
2.00803	3	4	3	60	0.00295714
2.01103	1	5	3	106	0.0129571
2.01303	3	3	3	1071	0.00295714
2.01403	3	2	3	4022	0.00295714
2.01503	1	5	3	1396	0.00795714
2.01903	3	3	3	1073	0.00295714
2.02003	3	2	3	7625	0.00295714
2.02203	3	4	3	633	0.00295714
2.02203	1	5	3	38	0.0129571
2.02303	1	5	3	106	0.00795714
2.02503	3	3	3	1073	0.00295714
2.02724	3	2	3	2912	0.00217143
2.02803	3	4	3	7059	0.00295714
2.02903	3	4	3	2558	0.00295714
2.02903	1	5	3	106	0.00795714
2.03103	3	3	3	1073	0.00295714
2.03203	1	5	3	1396	0.00795714
2.03303	1	5	3	1262	0.00795714
2.03367	3	2	3	4022	0.0026
2.03703	3	3	3	2155	0.00295714
2.03903	3	2	3	8052	0.00295714
2.04203	3	4	3	633	0.00295714
2.04303	1	5	3	1396	0.00795714
2.04303	3	3	3	362	0.00295714
2.04403	1	5	3	1396	0.00795714
2.04496	3	2	3	3941	0.00288571
2.0486	3	3	3	1073	0.00252857
2.05003	1	5	3	76	0.0129571
2.05303	3	4	3	7701	0.00795714
2.0536	3	2	3	4022	0.00252857
2.05367	3	3	3	1073	0.0026
2.05403	3	4	3	1860	0.00795714
2.05703	1	5	3	106	0.00795714
2.05803	1	5	3	1328	0.00795714
2.05896	3	2	3	6169	0.00288571
2.05903	3	3	3	1073	0.00295714
2.05903	1	5	3	106	0.00795714
2.06103	1	5	3	1328	0.00795714
2.06503	3	3	3	1083	0.00295714
2.06696	3	2	3	4022	0.00288571
2.06703	3	4	3	531	0.00295714
2.07103	3	3	3	1073	0.00295714
2.07203	3	2	3	4714	0.00295714
2.07203	1	5	3	106	0.00795714
2.07303	3	4	3	6475	0.00295714
2.07403	3	4	3	3187	0.00295714
2.07603	1	5	3	1396	0.00795714
2.07703	3	3	3	1073	0.00295714
2.07796	1	5	3	106	0.00788571
2.08003	1	1	3	106	0.00795714
2.08003	3	2	3	4022	0.00295714
2.08303	3	3	3	1073	0.00295714
2.08403	1	5	3	1396	0.00795714
2.08503	1	5	3	106	0.00795714
2.08603	3	2	3	4022	0.00295714
2.08703	1	5	3	1196	0.00795714
2.08703	3	4	3	531	0.00295714
2.08903	3	3	3	2155	0.00295714
2.0906	1	5	3	692	0.00752857
2.09103	1	1	3	692	0.00795714
2.09203	3	2	3	4022	0.00295714
2.09303	3	4	3	6475	0.00295714
2.0946	1	5	3	638	0.00752857
2.09503	1	1	3	692	0.00795714
2.09503	3	3	3	362	0.00295714
2.09696	1	1	3	692	0.00788571
2.0976	1	1	3	692	0.00752857
2.09803	1	5	3	692	0.00895714
2.09803	3	2	3	4022	0.00295714
2.09896	1	1	3	1278	0.0128857
2.09903	3	4	3	3187	0.00795714
2.09903	1	5	3	106	0.0129571
2.10103	1	1	3	228	0.00795714
2.10103	3	3	3	1073	0.00295714
2.10203	1	5	3	52	0.00795714
2.10403	3	2	3	4022	0.00295714
2.10424	1	5	3	106	0.00717143
2.10696	3	3	3	956	0.00288571
2.10703	3	4	3	428	0.00295714
2.10903	1	5	3	106	0.00795714
2.11003	3	2	3	4022	0.00295714
2.11103	3	4	3	5250	0.00295714
2.11103	1	5	3	1224	0.00795714
2.11131	3	3	3	1920	0.00224286
2.11203	3	4	3	4374	0.00295714
2.11203	1	5	3	106	0.00795714
2.11303	3	4	3	144	0.00295714
2.11603	3	2	3	4022	0.00295714
2.11624	3	3	3	353	0.00217143
2.11803	1	5	3	1328	0.0129571
2.12203	3	2	3	4022	0.00295714
2.12403	3	3	3	956	0.00295714
2.12403	1	5	3	106	0.0129571
2.12603	1	5	3	106	0.00795714
2.12703	1	1	3	106	0.0129571
2.12803	3	2	3	4022	0.00295714
2.13003	3	3	3	956	0.00295714
2.13403	3	2	3	4022	0.00295714
2.13603	1	5	3	1197	0.00795714
2.13603	3	3	3	1920	0.00295714
2.13703	1	5	3	1278	0.0129571
2.13731	1	5	3	223	0.0122429
2.13803	1	1	3	1161	0.00795714
2.13903	1	1	3	692	0.00795714
2.14003	1	5	3	1396	0.0129571
2.14003	3	2	3	4022	0.00295714
2.14203	3	3	3	956	0.00295714
2.1456	1	5	3	692	0.00752857
2.14603	1	1	3	692	0.00795714
2.14603	3	2	3	4022	0.00295714
2.14696	1	1	3	106	0.0128857
2.14703	1	5	3	106	0.00795714
2.14803	1	5	3	638	0.00795714
2.14803	3	3	3	1920	0.00295714
2.1486	1	5	3	692	0.00752857
2.14903	1	1	3	692	0.00795714
2.1496	1	5	3	692	0.00752857
2.15003	1	1	3	692	0.00795714
2.15203	3	2	3	4022	0.00295714
2.15303	1	1	3	106	0.00795714
2.15403	3	3	3	462	0.00295714
2.15603	1	1	3	137	0.00795714
2.15796	1	5	3	106	0.00788571
2.15803	3	2	3	4022	0.00295714
2.15903	1	5	3	106	0.00795714
2.15989	1	5	3	106	0.00781428
2.16003	1	1	3	223	0.00795714
2.16096	1	5	3	106	0.0128857
2.16103	3	3	3	956	0.00295714
2.16303	1	1	3	223	0.00795714
2.16396	3	2	3	7768	0.00288571
2.16603	1	1	3	106	0.00795714
2.16703	1	1	3	910	0.00795714
2.16703	3	3	3	956	0.00295714
2.16803	1	5	3	1161	0.00795714
2.16839	1	5	3	340	0.00731428
2.16903	1	1	3	1044	0.00795714
2.17003	1	1	3	414	0.00795714
2.17103	1	5	3	1278	0.00795714
2.17203	3	2	3	4022	0.00295714
2.17303	3	3	3	1920	0.00295714
2.17503	1	5	3	927	0.0129571
2.17803	1	5	3	234	0.00895714
2.17803	3	2	3	6169	0.00295714
2.17903	1	5	3	340	0.00795714
2.17903	3	3	3	956	0.00295714
2.18203	1	5	3	340	0.00795714
2.18503	3	3	3	948	0.00295714
2.18503	1	5	3	106	0.00795714
2.18596	1	5	3	1278	0.00788571
2.18603	1	1	3	106	0.00795714
2.18603	3	2	3	4022	0.00295714
2.18703	1	1	3	1044	0.00795714
2.18739	1	5	3	223	0.00731428
2.18803	1	1	3	1044	0.00795714
2.18903	1	5	3	587	0.00795714
2.19103	1	2	3	208	0.00295714
2.19103	3	3	3	956	0.00295714
2.19203	3	2	3	4022	0.00295714
2.19503	1	5	3	1044	0.00795714
2.19603	1	5	3	692	0.00295714
2.19631	1	2	3	545	0.00224286
2.19696	1	1	3	1044	0.00788571
2.19703	3	3	3	956	0.00295714
2.19803	1	1	3	1138	0.00795714
2.19803	3	2	3	7972	0.00295714
2.19946	1	2	3	707	0.00238571
2.20303	3	3	3	1920	0.00295714
2.20403	1	5	3	106	0.0129571
2.20503	1	5	3	575	0.00795714
2.20603	3	2	3	4022	0.00295714
2.20896	3	3	3	956	0.00288571
2.21103	1	5	3	455	0.0129571
2.21203	3	2	3	4022	0.00295714
2.21224	1	2	3	267	0.00217143
2.21403	3	3	3	948	0.00295714
2.21503	1	5	3	1328	0.00795714
2.21803	3	2	3	5061	0.00295714
2.21889	1	2	3	2382	0.00281428
2.21896	1	5	3	106	0.0128857
2.21903	1	1	3	106	0.00795714
2.22103	3	3	3	956	0.00295714
2.22103	1	5	3	106	0.00795714
2.22296	1	2	3	267	0.00788571
2.22403	1	5	3	1278	0.0139571
2.22603	3	2	3	2912	0.00295714
2.22703	1	5	3	52	0.0129571
2.22703	3	3	3	956	0.00295714
2.22803	1	5	3	223	0.00795714
2.22924	1	5	3	106	0.0121714
2.23003	1	1	3	1278	0.00795714
2.23103	1	1	3	1278	0.00795714
2.23203	3	2	3	4022	0.00295714
2.23303	1	1	3	1161	0.00795714
2.23303	3	3	3	1920	0.00295714
2.23403	1	1	3	553	0.00795714
2.23603	1	5	3	106	0.0129571
2.23803	3	2	3	4022	0.00295714
2.23903	1	5	3	692	0.0129571
2.23903	3	3	3	956	0.00295714
2.24203	1	5	3	692	0.0129571
2.24303	1	5	3	223	0.0129571
2.24396	3	2	3	2150	0.00288571
2.24503	1	5	3	1044	0.0129571
2.24503	3	3	3	948	0.00295714
2.24903	1	2	3	267	0.00795714
2.25103	1	5	3	1044	0.0129571
2.25103	3	3	3	956	0.00295714
2.25203	3	2	3	4022	0.00295714
2.25403	1	5	3	1278	0.0129571
2.25589	1	2	3	2184	0.00281428
2.25603	1	1	3	106	0.00795714
