Time	CellId	RNTI	BWPId	SINR(dB)
0.220071	1	4	0	-16.3353
0.220071	1	5	0	-17.5187
0.220071	1	6	0	-24.4545
0.220071	3	1	0	-11.7193
0.220071	3	2	0	10.9467
0.220071	3	3	0	-3.08993
0.220071	3	4	0	-6.76598
0.225071	1	1	0	-16.8835
0.225071	1	2	0	-12.0251
0.225071	1	3	0	-21.8133
0.225071	1	4	0	-16.3432
0.225071	1	5	0	-17.365
0.225071	1	6	0	-24.4382
0.225071	3	1	0	-11.6277
0.225071	3	2	0	10.9021
0.225071	3	3	0	-3.16896
0.225071	3	4	0	-6.86009
0.230071	1	1	0	-16.8961
0.230071	1	2	0	-12.0706
0.230071	1	3	0	-21.8549
0.230071	1	4	0	-16.3231
0.230071	1	5	0	-17.3033
0.230071	1	6	0	-24.4468
0.230071	3	1	0	-11.5322
0.230071	3	2	0	10.8722
0.230071	3	3	0	-3.20216
0.230071	3	4	0	-6.93827
0.235071	1	1	0	-16.8986
0.235071	1	2	0	-12.0878
0.235071	1	3	0	-21.8655
0.235071	1	4	0	-16.3636
0.235071	1	5	0	-17.1984
0.235071	1	6	0	-24.2908
0.235071	3	1	0	-11.4701
0.235071	3	2	0	10.8122
0.235071	3	3	0	-3.12572
0.235071	3	4	0	-6.90921
0.238071	1	1	0	-16.9326
0.238071	1	2	0	-12.1085
0.238071	1	3	0	-8.67334
0.238071	1	4	0	-15.8113
0.238071	1	5	0	-17.139
0.238071	1	6	0	-24.2287
0.240071	1	1	0	-16.9363
0.240071	1	2	0	-12.0184
0.240071	1	3	0	-21.7482
0.240071	1	4	0	-16.3465
0.240071	1	5	0	-17.1465
0.240071	1	6	0	-24.2782
0.240071	3	1	0	-11.4665
0.240071	3	2	0	10.8615
0.240071	3	3	0	-3.11595
0.240071	3	4	0	-6.94907
0.241071	3	1	0	-11.3882
0.241071	3	2	0	10.8449
0.241071	3	3	0	-3.12066
0.241071	3	4	0	-6.97111
0.245071	1	1	0	-16.8792
0.245071	1	2	0	-12.0723
0.245071	1	3	0	-21.6058
0.245071	1	4	0	-16.2951
0.245071	1	5	0	-17.1049
0.245071	1	6	0	-24.2754
0.245071	3	1	0	-11.4119
0.245071	3	2	0	10.8749
0.245071	3	3	0	-3.04286
0.245071	3	4	0	-6.90134
0.250071	1	1	0	-16.8895
0.250071	1	2	0	-11.9924
0.250071	1	3	0	-21.5597
0.250071	1	4	0	-16.3565
0.250071	1	5	0	-17.0926
0.250071	1	6	0	-24.2459
0.250071	3	1	0	-11.4223
0.250071	3	2	0	10.8221
0.250071	3	3	0	-2.94114
0.250071	3	4	0	-7.18171
0.254071	1	1	0	-16.8065
0.254071	1	2	0	-11.9999
0.254071	1	3	0	-21.5047
0.254071	1	4	0	-16.3651
0.254071	1	5	0	-17.1211
0.254071	1	6	0	-24.261
0.254071	3	1	0	-11.4487
0.254071	3	2	0	10.7736
0.254071	3	3	0	-2.93654
0.254071	3	4	0	-7.25396
0.255071	1	1	0	-16.8202
0.255071	1	2	0	-12.0185
0.255071	1	3	0	-21.5021
0.255071	1	4	0	-16.3859
0.255071	1	5	0	-17.133
0.255071	1	6	0	-24.2531
0.255071	3	1	0	-11.4603
0.255071	3	2	0	10.7594
0.255071	3	3	0	-2.94754
0.255071	3	4	0	-7.25314
0.260071	1	1	0	-16.785
0.260071	1	2	0	-11.9295
0.260071	1	3	0	-21.3349
0.260071	1	4	0	-16.4165
0.260071	1	5	0	-17.3532
0.260071	1	6	0	-24.2621
0.260071	3	1	0	-11.498
0.260071	3	2	0	10.6452
0.260071	3	3	0	-2.92608
0.260071	3	4	0	-7.37634
0.265071	1	1	0	-16.8351
0.265071	1	2	0	-11.902
0.265071	1	3	0	-21.2745
0.265071	1	4	0	-16.4835
0.265071	1	5	0	-17.4787
0.265071	1	6	0	-24.2292
0.265071	3	1	0	-11.4416
0.265071	3	2	0	10.5984
0.265071	3	3	0	-3.02819
0.265071	3	4	0	-7.36844
0.270071	1	1	0	-16.7857
0.270071	1	2	0	-11.8678
0.270071	1	3	0	-21.3124
0.270071	1	4	0	-16.4145
0.270071	1	5	0	-17.6753
0.270071	1	6	0	-24.2209
0.270071	3	1	0	-11.3838
0.270071	3	2	0	10.588
0.270071	3	3	0	-3.04207
0.270071	3	4	0	-7.47841
0.274071	1	1	0	-16.7431
0.274071	1	2	0	-11.7956
0.274071	1	3	0	-8.17254
0.274071	1	4	0	-15.9142
0.274071	1	5	0	-17.8326
0.274071	1	6	0	-24.1444
0.275071	1	1	0	-16.7261
0.275071	1	2	0	-11.795
0.275071	1	3	0	-21.274
0.275071	1	4	0	-16.3903
0.275071	1	5	0	-17.8362
0.275071	1	6	0	-24.197
0.275071	3	1	0	-11.408
0.275071	3	2	0	10.5194
0.275071	3	3	0	-3.04678
0.275071	3	4	0	-7.61604
0.280071	1	1	0	-16.6883
0.280071	1	2	0	-11.6135
0.280071	1	3	0	-21.2365
0.280071	1	4	0	-16.4565
0.280071	1	5	0	-17.983
0.280071	1	6	0	-24.105
0.280071	3	1	0	-11.4419
0.280071	3	2	0	10.5743
0.280071	3	3	0	-2.97793
0.280071	3	4	0	-7.74281
0.282071	3	1	0	-11.309
0.282071	3	2	0	10.5519
0.282071	3	3	0	-2.94763
0.282071	3	4	0	-7.80867
0.285071	1	1	0	-16.6493
0.285071	1	2	0	-11.6751
0.285071	1	3	0	-21.2327
0.285071	1	4	0	-16.5465
0.285071	1	5	0	-18.1979
0.285071	1	6	0	-24.1716
0.285071	3	1	0	-11.3897
0.285071	3	2	0	10.5158
0.285071	3	3	0	-2.88593
0.285071	3	4	0	-7.94763
0.286071	3	1	0	-11.3355
0.286071	3	2	0	10.5126
0.286071	3	3	0	-2.92099
0.286071	3	4	0	-7.97695
0.289071	1	1	0	-16.6993
0.289071	1	2	0	-11.6301
0.289071	1	3	0	-8.05842
0.289071	1	4	0	-16.0147
0.289071	1	5	0	-18.3632
0.289071	1	6	0	-24.2632
0.290071	1	1	0	-16.7209
0.290071	1	2	0	-11.6076
0.290071	1	3	0	-21.1645
0.290071	1	4	0	-16.4808
0.290071	1	5	0	-18.3726
0.290071	1	6	0	-24.241
0.290071	3	1	0	-11.3188
0.290071	3	2	0	10.5458
0.290071	3	3	0	-2.88271
0.290071	3	4	0	-8.10203
0.295071	1	1	0	-16.7633
0.295071	1	2	0	-11.6013
0.295071	1	3	0	-21.1028
0.295071	1	4	0	-16.4986
0.295071	1	5	0	-18.5561
0.295071	1	6	0	-24.1722
0.295071	3	1	0	-11.2636
0.295071	3	2	0	10.4757
0.295071	3	3	0	-2.89731
0.295071	3	4	0	-8.2275
0.300071	1	1	0	-16.8019
0.300071	1	2	0	-11.7673
0.300071	1	3	0	-20.9721
0.300071	1	4	0	-16.5203
0.300071	1	5	0	-18.6422
0.300071	1	6	0	-24.2269
0.300071	3	1	0	-11.2525
0.300071	3	2	0	10.5457
0.300071	3	3	0	-2.83116
0.300071	3	4	0	-8.36934
0.305071	1	1	0	-16.8964
0.305071	1	2	0	-11.6631
0.305071	1	3	0	-20.8768
0.305071	1	4	0	-16.5468
0.305071	1	5	0	-18.7747
0.305071	1	6	0	-24.1792
0.305071	3	1	0	-11.2637
0.305071	3	2	0	10.5057
0.305071	3	3	0	-2.87864
0.305071	3	4	0	-8.61162
0.310071	1	1	0	-16.9662
0.310071	1	2	0	-11.7652
0.310071	1	3	0	-20.935
0.310071	1	4	0	-16.602
0.310071	1	5	0	-18.9701
0.310071	1	6	0	-24.2433
0.310071	3	1	0	-11.441
0.310071	3	2	0	10.5435
0.310071	3	3	0	-3.00166
0.310071	3	4	0	-8.73664
0.315071	1	1	0	-17.0016
0.315071	1	2	0	-11.967
0.315071	1	3	0	-20.8447
0.315071	1	4	0	-16.5912
0.315071	1	5	0	-19.0579
0.315071	1	6	0	-24.281
0.315071	3	1	0	-11.3932
0.315071	3	2	0	10.582
0.315071	3	3	0	-2.95978
0.315071	3	4	0	-8.78081
0.318071	1	1	0	-17.0258
0.318071	1	2	0	-12.0529
0.318071	1	3	0	-7.61708
0.318071	1	4	0	-16.1146
0.318071	1	5	0	-19.1901
0.318071	1	6	0	-24.2733
0.320071	1	1	0	-17.0292
0.320071	1	2	0	-12.0976
0.320071	1	3	0	-20.8104
0.320071	1	4	0	-16.5861
0.320071	1	5	0	-19.301
0.320071	1	6	0	-24.2674
0.320071	3	1	0	-11.3403
0.320071	3	2	0	10.6329
0.320071	3	3	0	-2.90272
0.320071	3	4	0	-8.90412
0.321071	3	1	0	-11.2705
0.321071	3	2	0	10.6517
0.321071	3	3	0	-2.8717
0.321071	3	4	0	-8.93554
0.325071	1	1	0	-17.0355
0.325071	1	2	0	-12.0918
0.325071	1	3	0	-20.8162
0.325071	1	4	0	-16.6264
0.325071	1	5	0	-19.3182
0.325071	1	6	0	-24.224
0.325071	3	1	0	-11.384
0.325071	3	2	0	10.6004
0.325071	3	3	0	-2.902
0.325071	3	4	0	-9.01511
