time(s)	cellId	rnti	lcid	packetSize
3.106	3	2	3	112
3.114	3	2	3	56
3.12	3	2	3	56
3.121	3	4	3	120
3.123	1	4	3	155
3.123	1	2	3	112
3.124	1	3	3	302
3.124	1	1	3	72
3.126	3	2	3	56
3.129	3	1	3	112
3.132	3	2	3	112
3.14	3	2	3	56
3.141	3	4	3	120
3.146	3	2	3	112
3.153	3	2	3	56
3.154	3	1	3	112
3.157	1	4	3	181
3.157	1	3	3	191
3.157	1	2	3	167
3.157	1	1	3	430
3.159	1	1	3	72
3.16	3	2	3	56
3.161	3	4	3	112
3.166	3	2	3	112
3.171	3	2	3	56
3.173	3	1	3	167
3.179	3	2	3	56
3.181	3	4	3	112
3.182	3	4	3	56
3.185	3	2	3	167
3.193	3	2	3	56
3.195	1	4	3	112
3.195	1	3	3	255
3.195	1	2	3	112
3.199	3	2	3	56
3.201	3	4	3	167
3.202	1	4	3	56
3.202	3	1	3	167
3.203	3	4	3	56
3.205	3	2	3	167
3.213	1	2	3	167
3.213	3	2	3	56
3.219	3	2	3	56
3.225	3	2	3	167
3.226	3	4	3	167
3.227	3	1	3	112
3.228	3	1	3	56
3.232	3	2	3	56
3.235	1	4	3	228
3.235	1	3	3	175
3.235	1	2	3	167
3.236	1	4	3	220
3.238	3	2	3	56
3.244	3	2	3	167
3.246	3	4	3	318
3.247	3	4	3	64
3.25	3	2	3	112
3.25	3	1	3	167
3.258	3	2	3	56
3.264	3	2	3	167
3.266	3	4	3	247
3.267	3	4	3	56
3.27	1	4	3	302
3.27	1	3	3	112
3.27	1	2	3	223
3.27	3	2	3	128
3.274	3	1	3	223
3.278	3	2	3	128
3.28	1	1	3	111
3.282	1	1	3	242
3.284	3	2	3	382
3.29	3	2	3	183
3.291	3	4	3	255
3.296	3	2	3	128
3.298	1	4	3	191
3.298	1	3	3	112
3.298	1	2	3	167
3.299	3	1	3	167
3.302	3	2	3	390
3.308	3	2	3	207
3.315	3	2	3	128
3.316	3	4	3	247
3.321	3	2	3	183
3.324	3	1	3	445
3.327	3	2	3	56
3.332	1	3	3	112
3.332	1	1	3	72
3.333	3	2	3	112
3.334	1	2	3	272
3.336	3	4	3	112
3.339	3	2	3	112
3.34	1	4	3	191
3.34	1	2	3	112
3.34	1	1	3	72
3.342	1	1	3	64
3.346	3	2	3	56
3.352	3	2	3	56
3.356	3	1	3	302
3.358	3	2	3	56
3.362	3	4	3	112
3.364	3	2	3	112
3.368	1	4	3	183
3.368	1	3	3	167
3.368	1	2	3	302
3.369	1	1	3	255
3.372	3	2	3	56
3.375	3	1	3	191
3.378	3	2	3	56
3.382	3	4	3	112
3.384	3	2	3	56
3.39	3	2	3	112
3.399	3	1	3	255
3.403	3	2	3	56
3.407	1	4	3	112
3.407	1	3	3	167
3.407	1	2	3	255
3.407	1	1	3	64
3.407	3	4	3	167
3.408	3	2	3	112
3.411	1	1	3	64
3.414	1	1	3	64
3.417	3	2	3	56
3.419	1	1	3	64
3.423	3	2	3	112
3.424	3	1	3	175
3.431	3	2	3	56
3.432	3	4	3	167
3.437	3	2	3	56
3.443	3	2	3	112
3.444	3	1	3	112
3.445	1	3	3	167
3.445	1	2	3	247
3.448	1	4	3	112
3.448	1	1	3	128
3.449	1	1	3	64
3.449	3	2	3	56
3.452	3	4	3	112
3.453	3	4	3	56
3.455	3	2	3	112
3.461	3	2	3	56
3.467	3	2	3	56
3.468	3	1	3	112
3.477	3	4	3	167
3.478	3	2	3	167
3.48	3	2	3	56
3.481	1	4	3	112
3.481	1	3	3	167
3.481	1	2	3	112
3.481	1	1	3	111
3.482	1	1	3	19
3.492	3	2	3	56
3.493	3	1	3	112
3.496	3	2	3	167
3.497	3	4	3	112
3.498	3	4	3	112
3.505	3	2	3	128
3.51	3	2	3	318
3.514	1	3	3	223
3.514	1	2	3	112
3.514	3	4	3	112
3.515	1	4	3	112
3.515	1	1	3	255
3.515	3	4	3	56
