file,node,event,time,rate,mac_type,retry,length,src_ip,dst_ip,ip_id,l4,src_port,dst_port
5g_playfield_ascii_traces-4-1.tr,4,r,6.40783,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.40836,OfdmRate24Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.40873,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.40923,OfdmRate24Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.40959,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.41007,OfdmRate24Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.41047,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.41095,OfdmRate24Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.41136,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.4119,OfdmRate24Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.41225,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.41279,OfdmRate24Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.41315,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.41369,OfdmRate24Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.50078,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
